CHAPTER,FILE,SUMMARY,CURRENT_TAGS,PROPOSED_TAGS,TAGS_ADDED,TAGS_REMOVED,RATIONALE_ADDED,APPROVAL_STATUS
exemplo-playbook,sbd-toe/002-cross-check-normativo/exemplo-playbook/04-exemplo-relatorio-incidentes.md,"O SbD-ToE prescreve ([Cap. 12](/sbd-toe/sbd-manual/monitorizacao-operacoes/intro | - ✓ Processos de ","dora|exemplos|incidentes|reporte|template","dora|exemplos|implementacao|incidentes|playbook|reporte|template","implementacao|playbook","","implementacao(66%,rag:Found in 65% of similar docume); playbook(67%,rag:Found in 67% of similar docume)",OK
exemplo-playbook,sbd-toe/002-cross-check-normativo/exemplo-playbook/README.md,"Esta pasta (`exemplo-playbook`) contém **ficheiros exemplares** que demonstram c | **Importante:**","cra|dora|exemplos|gdpr|iso27001|nis2|playbook|templates","cra|dora|exemplos|gdpr|iso27001|nis2|playbook","","templates","",OK
gdpr,sbd-toe/002-cross-check-normativo/gdpr/01-intro.md,"> Para implementação prática; consulte o [Playbook SbD-ToE 4 GDPR](/sbd-toe/cros | >","art32|cross-check|gdpr|privacidade|privacy-by-design|protecao-dados","art32|cross-check|gdpr|implementacao|privacidade|privacy-by-design|protecao-dados","implementacao","","implementacao(63%,rag:Found in 62% of similar docume)",OK
gdpr,sbd-toe/002-cross-check-normativo/gdpr/02-playbook.md,"Objetivo: operacionalizar GDPR Art. 25/30/32/33–34/35 com base nas capacidades t | Estrutura: Requis","art32|gdpr|implementacao|playbook|privacy-by-design","art32|cra|gdpr|implementacao|playbook|privacy-by-design|produtos-digitais","cra|produtos-digitais","","cra(60%,rag:Found in 60% of similar docume); produtos-digitais(60%,rag:Found in 60% of similar docume)",OK
nis2,sbd-toe/002-cross-check-normativo/nis2/01-intro.md,"A **Diretiva (UE) 2022/2555 (NIS2)** (CELEX: [32022L2555](https://eur-lex.europa | No espírito da NI","ciberseguranca|cross-check|diretiva|governance|incident-reporting|nis2","ciberseguranca|cross-check|diretiva|governance|incident-reporting|nis2|testes","testes","","testes(60%,pattern:Content keywords match pattern)",OK
nis2,sbd-toe/002-cross-check-normativo/nis2/02-playbook.md,"Este playbook mapeia **requisitos NIS2 (Diretiva UE 2022/2555) para ações SbD-To | **Princípio:** Im","implementacao|nis2|playbook|roadmap","cra|dora|implementacao|nis2|playbook|produtos-digitais|roadmap","cra|dora|produtos-digitais","","cra(67%,rag:Found in 66% of similar docume); dora(74%,rag:Found in 73% of similar docume); produtos-digitais(67%,rag:Found in 66% of similar docume)",OK
nis2,sbd-toe/002-cross-check-normativo/nis2/03-convergencia-dora.md,"Esta nota destina-se a organizações do setor financeiro (bancos; seguradoras; in | DORA é lex specia","convergencia|dora|governanca|lex-specialis|nis2","convergencia|dora|governanca|governação|lex-specialis|nis2|testes","governação|testes","","governação(66%,rag:Found in 65% of similar docume); testes(60%,pattern:Content keywords match pattern)",OK
00-fundamentos,sbd-toe/010-sbd-manual/00-fundamentos/baseline.md,"A segurança de software não pode depender da criticidade de cada aplicação para  | Sem esse alicerce","baseline|dora|gdpr|minimo|must|nis2|obrigacoes","baseline|dora|gdpr|minimo|must|nis2|obrigacoes","","","",OK
00-fundamentos,sbd-toe/010-sbd-manual/00-fundamentos/intro.md,"Este capítulo é o índice de navegação do manual. Contém: | 1. **[Como Usar o Manual](./como-usar)** ","baseline|cat_basilar|estrutura|fundamentos|grp_fundamentos_contexto|introducao|manual|roles","baseline|cat_basilar|estrutura|fundamentos|grp_fundamentos_contexto|introducao|manual","","roles","",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/appsec-engineer.md,"AppSec é a **ponte entre normas abstratas e execução técnica**. | Transforma obrigações regulatórias","appsec|responsabilidades|seguranca|vulnerabilidades","appsec|eixo|responsabilidades|seguranca|segurança|threat-modeling|vulnerabilidades","eixo|segurança|threat-modeling","","eixo(63%,rag:Found in 63% of similar docume); segurança(80%,rag:Found in 79% of similar docume); threat-modeling(77%,rag+pattern:RAG + keyword pattern agreemen)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/arquitetos-software.md,"Arquitetos desenham soluções que **resistem ao tempo e às ameaças**. | Garantem que princípios de se","arquitetura|design|responsabilidades|seguranca","arquitetura|containers|dependencias|design|responsabilidades|seguranca|segurança","containers|dependencias|segurança","","containers(60%,rag:Found in 60% of similar docume); dependencias(60%,rag:Found in 60% of similar docume); segurança(64%,rag:Found in 63% of similar docume)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/auditores.md,"Auditores **validam a aplicação efetiva das práticas** descritas no SbD-ToE. | Verificam classificaç","auditores|auditoria|compliance|responsabilidades","auditores|auditoria|compliance|organizacional|políticas|responsabilidades|validação","organizacional|políticas|validação","","organizacional(67%,rag:Found in 67% of similar docume); políticas(67%,rag:Found in 67% of similar docume); validação(67%,rag:Found in 66% of similar docume)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/developer.md,"Developers são a **linha da frente da implementação prática de *security by desi | É no ato de escre","codigo|dev|developer|responsabilidades","automação|codigo|dev|developer|responsabilidades|segurança|threat-modeling","automação|segurança|threat-modeling","","automação(64%,rag:Found in 64% of similar docume); segurança(65%,rag:Found in 64% of similar docume); threat-modeling(79%,rag+pattern:RAG + keyword pattern agreemen)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/devops-sre.md,"DevOps/SRE são os **artesãos da automação e da infraestrutura**. | Garantem que segurança está embut","cicd|devops|responsabilidades|sre","cicd|devops|linters|responsabilidades|segurança|sre|testes","linters|segurança|testes","","linters(66%,rag:Found in 66% of similar docume); segurança(68%,rag:Found in 68% of similar docume); testes(78%,rag+pattern:RAG + keyword pattern agreemen)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/fornecedores-terceiros.md,"Fornecedores são **parte da cadeia de responsabilidade**. | Devem cumprir os mesmos padrões de segur","fornecedores|responsabilidades|supply-chain|terceiros","contratacao|dependencias|fornecedores|responsabilidades|supply-chain|terceiros|validação","contratacao|dependencias|validação","","contratacao(64%,rag:Found in 63% of similar docume); dependencias(94%,rag+pattern:RAG + keyword pattern agreemen); validação(65%,rag:Found in 65% of similar docume)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/gestao-executiva.md,"Gestão Executiva **dá direção e garante condições de aplicação**. | Sem patrocínio ao mais alto níve","ciso|gestao-executiva|governance|responsabilidades","ciclo-vida|ciso|contratacao|gestao-executiva|governance|rastreabilidade|responsabilidades","ciclo-vida|contratacao|rastreabilidade","","ciclo-vida(63%,rag:Found in 63% of similar docume); contratacao(63%,rag:Found in 63% of similar docume); rastreabilidade(65%,rag:Found in 65% of similar docume)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/grc-compliance.md,"GRC assegura que **práticas internas estão alinhadas com normas e regulamentos e | Coordena auditori","compliance|governance|grc|responsabilidades","auditores|auditoria|cicd|compliance|governance|grc|responsabilidades","auditores|auditoria|cicd","","auditores(62%,rag:Found in 62% of similar docume); auditoria(71%,rag:Found in 70% of similar docume); cicd(78%,rag+pattern:RAG + keyword pattern agreemen)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/intro.md,"O SbD-ToE define 13 papéis organizacionais com responsabilidades específicas lig | As atividades pre","cat_basilar|dora|governance|grp_fundamentos_contexto|nis2|organizacao|responsabilidades|roles","cat_basilar|dora|governance|grp_fundamentos_contexto|nis2|organizacao|responsabilidades","","roles","",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/operacoes.md,"Ops mantém **integridade em runtime**; garantindo disponibilidade; aplicação de  | Responsável por *","incident-response|operacoes|ops|responsabilidades|runtime","incident-response|monitorizacao|operacoes|ops|responsabilidades|rollback|runtime","monitorizacao|rollback","","monitorizacao(63%,rag:Found in 62% of similar docume); rollback(62%,rag:Found in 61% of similar docume)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/product-owner.md,"Product Owner **equilibra negócio e segurança**; garantindo que esta não é vista | Responsável por p","po|product-owner|produto|responsabilidades","cicd|dependencias|po|product-owner|produto|responsabilidades|threat-modeling","cicd|dependencias|threat-modeling","","cicd(60%,pattern:Content keywords match pattern); dependencias(60%,pattern:Content keywords match pattern); threat-modeling(60%,pattern:Content keywords match pattern)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/qa.md,"QA **valida requisitos de segurança transformando-os em critérios de aceitação** | Já não basta vali","qa|quality-assurance|responsabilidades|testes","ciclo-vida|qa|quality-assurance|requisitos|responsabilidades|testes|validação","ciclo-vida|requisitos|validação","","ciclo-vida(64%,rag:Found in 63% of similar docume); requisitos(64%,rag:Found in 63% of similar docume); validação(65%,rag:Found in 65% of similar docume)",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/scrum-master.md,"Scrum Master/Team Lead é o **guardião da disciplina ágil**. | Assegura que segurança não é relegada ","agile|responsabilidades|scrum-master|team-lead","agile|ciclo-vida|responsabilidades|scrum-master|team-lead|threat-modeling|tipo-aplicacao","ciclo-vida|threat-modeling|tipo-aplicacao","","ciclo-vida(52%,rag:Present in similar documents (); threat-modeling(60%,pattern:Content keywords match pattern); tipo-aplicacao(52%,rag:Present in similar documents ()",OK
roles-responsabilidades,sbd-toe/010-sbd-manual/00-fundamentos/roles-responsabilidades/security-champion.md,"Security Champions são **catalisadores locais de segurança**. | Não substituem AppSec; mas tornam a ","advocacy|responsabilidades|security-champion|seguranca","advocacy|apoio|formacao|responsabilidades|security-champion|seguranca|segurança","apoio|formacao|segurança","","apoio(63%,rag:Found in 63% of similar docume); formacao(66%,rag:Found in 66% of similar docume); segurança(70%,rag:Found in 69% of similar docume)",OK
01-classificacao-aplicacoes,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/achievable-maturity.md,"Este documento estabelece o **grau de alinhamento entre as práticas descritas no | A prática de clas","DSOMM|SAMM|SSDF|canon|maturidade","DSOMM|SAMM|SSDF|canon|dsomm|maturidade|samm","dsomm|samm","","dsomm(73%,rag:Found in 73% of similar docume); samm(73%,rag:Found in 73% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/01-modelo-classificacao-eixos.md,"<!--template: sbdtoe-core --> | Fornecer um modelo **prático; proporcional e aplicável** ao contexto","eixo|risco|tema:criticidade|tipo:modelo","auditoria|eixo|evolucao|governação|risco|tema:criticidade|tipo:modelo","auditoria|evolucao|governação","","auditoria(51%,rag:Present in similar documents (); evolucao(51%,rag:Present in similar documents (); governação(51%,rag:Present in similar documents ()",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/02-ciclo-vida-risco.md,"<!--template: sbdtoe-core --> | A gestão de risco em software não deve ser encarada como um evento p","classificacao|eventos|tema:revisao|tipo:ciclo","cicd|ciclo-vida|classificacao|eventos|tema:revisao|tipo-aplicacao|tipo:ciclo","cicd|ciclo-vida|tipo-aplicacao","","cicd(63%,rag:Found in 63% of similar docume); ciclo-vida(64%,rag:Found in 64% of similar docume); tipo-aplicacao(63%,rag:Found in 62% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/03-criterios-aceitacao-risco.md,"<!--template: sbdtoe-core --> | A aceitação formal de risco é uma etapa fundamental no processo de g","aceitacao|excecao|rastreabilidade|tipo:criterios","aceitacao|eixo|excecao|exceções|rastreabilidade|risco|tipo:criterios","eixo|exceções|risco","","eixo(51%,rag:Present in similar documents (); exceções(71%,rag:Found in 71% of similar docume); risco(51%,rag:Present in similar documents ()",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/04-risco-residual.md,"<!--template: sbdtoe-core --> | O conceito de **risco residual** é essencial para a tomada de decisã","aceitacao|excecao|risco-residual|tipo:analise","aceitacao|excecao|exceções|proporcionalidade|risco|risco-residual|tipo:analise","exceções|proporcionalidade|risco","","exceções(78%,rag:Found in 77% of similar docume); proporcionalidade(62%,rag:Found in 61% of similar docume); risco(62%,rag:Found in 61% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/05-matriz-controlos-por-risco.md,"<!--template: sbdtoe-core --> | Esta tabela resume os controlos mínimos esperados por domínio técnic","controlos|proporcionalidade|risco|tipo:matriz","ameaças|controlo|controlos|proporcionalidade|risco|testes|tipo:matriz","ameaças|controlo|testes","","ameaças(61%,rag:Found in 61% of similar docume); controlo(63%,rag:Found in 62% of similar docume); testes(60%,pattern:Content keywords match pattern)",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/06-mapeamento-ameacas-risco.md,"<!--template: sbdtoe-core --> | A integração de **modelos de ameaças estruturados** na análise de ri","ameacas|controlo|risco|tipo:mapeamento","ameacas|ameaças|base|cat_basilar|controlo|risco|tipo:mapeamento","ameaças|base|cat_basilar","","ameaças(80%,rag:Found in 79% of similar docume); base(64%,rag:Found in 63% of similar docume); cat_basilar(64%,rag:Found in 63% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/07-adopcao-drp-bia.md,"<!--template: sbdtoe-addon --> | Orientar a reutilização de classificações já existentes - nomeadame","bia|classificacao|risco|tema:drp|tipo:ligacao","base|bia|ciclo-vida|classificacao|risco|tema:drp|tipo:ligacao","base|ciclo-vida","","base(63%,rag:Found in 62% of similar docume); ciclo-vida(63%,rag:Found in 62% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/08-avaliacao-semiquantitativa.md,"A avaliação de risco semiquantitativa permite ultrapassar as limitações da abord | Este modelo é rec","criticidade|metodologia|tema:risco|tipo:avaliacao","asvs|criticidade|metodologia|rastreabilidade|tema:requisitos|tema:risco|tipo:avaliacao","asvs|rastreabilidade|tema:requisitos","","asvs(44%,rag:Present in similar documents (); rastreabilidade(45%,rag:Present in similar documents (); tema:requisitos(44%,rag:Present in similar documents ()",OK
addon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/addon/09-casos-praticos.md,"Estes exemplos demonstram como aplicar o [modelo dos três eixos de risco](/sbd-t | ---","aplicacao|risco|tema:classificacao|tipo:exemplo","aplicacao|base|cat_basilar|ciclo-vida|risco|tema:classificacao|tipo:exemplo","base|cat_basilar|ciclo-vida","","base(53%,rag:Present in similar documents (); cat_basilar(53%,rag:Present in similar documents (); ciclo-vida(53%,rag:Present in similar documents ()",OK
01-classificacao-aplicacoes,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/aplicacao-lifecycle.md,"A correta aplicação da classificação de criticidade (L1–L3) ao longo de todo o c | Este capítulo det","ciclo-vida|classificacao|genia:us-format-normalization|risco|tipo:aplicacao|user-stories","ciclo-vida|classificacao|genia:us-format-normalization|risco|tipo-aplicacao|tipo:aplicacao|user-stories","tipo-aplicacao","","tipo-aplicacao(74%,rag:Found in 74% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/canon/20-checklist-revisao.md,"Este checklist aplica-se a todas as aplicações classificadas segundo os critério | Serve como **inst","aplicacao|canon|checklist|controlo|projeto","aplicacao|canon|checklist|controlo|dependencias|formacao|projeto","dependencias|formacao","","dependencias(66%,rag:Found in 65% of similar docume); formacao(65%,rag:Found in 64% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/canon/25-rastreabilidade.md,"Este ficheiro estabelece a **rastreabilidade entre as práticas de classificação  | > A rastreabilida","alinhamento|canon|frameworks|rastreabilidade","alinhamento|canon|dsomm|frameworks|rastreabilidade|samm|ssdf","dsomm|samm|ssdf","","dsomm(71%,rag:Found in 70% of similar docume); samm(72%,rag:Found in 71% of similar docume); ssdf(72%,rag:Found in 71% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/canon/50-ameacas-mitigadas.md,"Este capítulo **não define controlos técnicos diretos**; mas estabelece a **estr | > A correta class","ameacas|canon|controlo|mitigacao|risco","ameacas|ameaças|canon|controlo|iac|mitigacao|risco","ameaças|iac","","ameaças(76%,rag:Found in 75% of similar docume); iac(64%,rag:Found in 64% of similar docume)",OK
01-classificacao-aplicacoes,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/intro.md,"<details className="basilar-admonition"> | <summary>⚠️ Capítulo basilar – o que significa?</summary>","base|cat_basilar|ciclo-vida|classificacao|fundamentos|grp_fundamentos_contexto|proporcionalidade|risco","base|cat_basilar|ciclo-vida|classificacao|fundamentos|grp_fundamentos_contexto|proporcionalidade","","risco","",OK
01-classificacao-aplicacoes,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/policies-relevantes.md,"A adoção eficaz do Capítulo 01 - Gestão de Risco - exige a existência de **polít | ---","canon|classificacao|excecao|politicas|risco","canon|classificacao|excecao|exceções|policy|politicas|risco","exceções|policy","","exceções(80%,rag:Found in 79% of similar docume); policy(76%,rag:Found in 76% of similar docume)",OK
01-classificacao-aplicacoes,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/pre-note.md,"A classificação de criticidade aplicacional proposta neste capítulo segue uma ab | - Existe uma lacu","base|ciclo-vida|classificacao|proporcionalidade|risco","base|ciclo-vida|classificacao|genia:us-format-normalization|proporcionalidade|risco|tipo-aplicacao","genia:us-format-normalization|tipo-aplicacao","","genia:us-format-normalization(54%,rag:Present in similar documents (); tipo-aplicacao(54%,rag:Present in similar documents ()",OK
01-classificacao-aplicacoes,sbd-toe/010-sbd-manual/01-classificacao-aplicacoes/recomendacoes-avancadas.md,"Este anexo apresenta práticas **não obrigatórias**; mas altamente recomendadas p | Estas recomendaçõ","canon|maturidade|recomendacoes|risco","canon|maturidade|po|product-owner|produto|recomendacoes|risco","po|product-owner|produto","","po(61%,rag:Found in 61% of similar docume); product-owner(61%,rag:Found in 61% of similar docume); produto(61%,rag:Found in 61% of similar docume)",OK
02-requisitos-seguranca,sbd-toe/010-sbd-manual/02-requisitos-seguranca/achievable-maturity.md,"Este documento estabelece o **grau de alinhamento entre as práticas descritas no | A definição e val","DSOMM|SAMM|SLSA|SSDF|canon|maturidade","DSOMM|SAMM|SLSA|SSDF|canon|dsomm|maturidade","dsomm","","dsomm(75%,rag:Found in 74% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/01-catalogo-requisitos.md,"<!--template: sbdtoe-addon --> | O **catálogo de requisitos de segurança** é um dos pilares do model","ASVS|criticidade|rastreabilidade|tema:requisitos|tipo:catalogo","ASVS|asvs|criticidade|rastreabilidade|tema:requisitos|tipo-catalogo|tipo:catalogo","asvs|tipo-catalogo","","asvs(80%,rag:Found in 79% of similar docume); tipo-catalogo(80%,rag:Found in 79% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/02-lista-requisitos-base.md,"> Importante: | >","anexo|criticidade|tema:requisitos|tema:resumo|tipo:catalogo","anexo|criticidade|tema:requisitos|tema:resumo|tipo-anexo|tipo-catalogo|tipo:catalogo","tipo-anexo|tipo-catalogo","","tipo-anexo(80%,rag:Found in 79% of similar docume); tipo-catalogo(80%,rag:Found in 79% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/03-taxonomia-rastreabilidade.md,"Estabelecer um modelo normalizado de identificação e rastreabilidade de requisit | Esta taxonomia pe","ALM|domínios|rastreabilidade|requisitos|taxonomia","ALM|domínios|dsomm|rastreabilidade|requisitos|ssdf|taxonomia","dsomm|ssdf","","dsomm(62%,rag:Found in 62% of similar docume); ssdf(62%,rag:Found in 62% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/04-rastreabilidade-controlo.md,"Durante todo o ciclo de vida do software é necessário garantir a rastreabilidade | Este manual descr","cobertura|controlos|rastreabilidade|requisitos|testes","ciclo-vida|cobertura|controlos|rastreabilidade|requisitos|testes|tipo-aplicacao","ciclo-vida|tipo-aplicacao","","ciclo-vida(63%,rag:Found in 63% of similar docume); tipo-aplicacao(63%,rag:Found in 63% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/05-criterios-aceitacao.md,"<!--template: sbdtoe-addon --> | Este anexo apresenta; para cada requisito do Catálogo Base; o crité","anexo|auditoria|tema:requisitos|tipo:aceitacao|validacao","anexo|auditoria|tema:requisitos|tipo-anexo|tipo:aceitacao|validacao|validação","tipo-anexo|validação","","tipo-anexo(78%,rag:Found in 78% of similar docume); validação(72%,rag:Found in 72% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/06-matriz-controlos-por-risco.md,"Esta matriz resume; por **tema técnico de segurança**; quais os domínios onde ex | > ⚠️ **Importante","controlo|matriz|proporcionalidade|requisitos|risco","arquitetura|controlo|matriz|proporcionalidade|rastreabilidade|requisitos|risco","arquitetura|rastreabilidade","","arquitetura(62%,rag:Found in 62% of similar docume); rastreabilidade(64%,rag:Found in 64% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/07-validacao-requisitos.md,"Prescrever a forma de validar a aplicação dos **requisitos de segurança definido | A validação permi","ciclo de vida|evidência|requisitos|testes|validacao","ciclo de vida|ciclo-vida|evidência|requisitos|testes|validacao|validação","ciclo-vida|validação","","ciclo-vida(78%,rag:Found in 77% of similar docume); validação(75%,rag:Found in 75% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/08-gestao-excecoes.md,"Estabelecer um processo claro e controlado para tratar situações em que um ou ma | Este processo ass","exceções|políticas|requisitos|risco|validacao","excecoes|exceções|políticas|requisitos|risco|validacao|validação","excecoes|validação","","excecoes(71%,rag:Found in 71% of similar docume); validação(75%,rag:Found in 74% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/10-validacao-requisitos.md,"Este documento constitui uma **extensão normativa prática do Capítulo 2**; focad | > É o equivalente","evidência|rastreabilidade|requisitos|teste|validacao","evidência|rastreabilidade|requisitos|teste|testes|validacao|validação","testes|validação","","testes(83%,rag+pattern:RAG + keyword pattern agreemen); validação(71%,rag:Found in 71% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/12-controlos-requisitos.md,"Este documento define como cada requisito do `01-catalogo-requisitos.md` deve se | - O tipo de valid","ASVS|catalogo|criticidade|rastreabilidade|requisitos","ASVS|asvs|catalogo|cicd|criticidade|rastreabilidade|requisitos","asvs|cicd","","asvs(79%,rag:Found in 78% of similar docume); cicd(60%,pattern:Content keywords match pattern)",OK
addon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/addon/15-exemplos-aplicacao.md,"Este anexo ilustra; de forma prática; como aplicar os requisitos de segurança ao | > ℹ️ Este documen","aplicação|exemplos|rastreabilidade|requisitos|validacao","aplicação|ciclo-vida|exemplos|rastreabilidade|requisitos|validacao|validação","ciclo-vida|validação","","ciclo-vida(65%,rag:Found in 64% of similar docume); validação(70%,rag:Found in 70% of similar docume)",OK
